threads,tasks,time
1,1,3828392583
1,1,364264000
1,1,526199583
1,1,657497125
1,1,819014500
1,1,507114792
1,1,745390209
1,1,502848583
1,1,688869083
1,1,341920250
1,10,2646462750
1,10,389269125
1,10,447900084
1,10,424659625
1,10,301191333
1,10,312764084
1,10,301807500
1,10,497279000
1,10,767981458
1,10,334046416
1,480000,4063042375
1,480000,1040399541
1,480000,1395772208
1,480000,769550709
1,480000,1085394459
1,480000,732984041
1,480000,615867708
1,480000,835033791
1,480000,917822125
1,480000,810441334
8,8,2857099959
8,8,251836375
8,8,218079625
8,8,764686250
8,8,178270542
8,8,623115250
8,8,241909875
8,8,198896041
8,8,544439542
8,8,204530500
8,80,2290177458
8,80,274587125
8,80,146551417
8,80,229345583
8,80,162155875
8,80,214853417
8,80,228343417
8,80,175435417
8,80,139006125
8,80,151542417
8,480000,3582477333
8,480000,1018648541
8,480000,852182625
8,480000,520259041
8,480000,801942042
8,480000,920136375
8,480000,714136042
8,480000,503059583
8,480000,508043417
8,480000,526382083
16,16,2447290750
16,16,217483041
16,16,216681625
16,16,240300458
16,16,141638542
16,16,208507458
16,16,231415959
16,16,328416583
16,16,201232917
16,16,223263625
16,32,2588618750
16,32,368984333
16,32,261525875
16,32,267225083
16,32,183978083
16,32,195975875
16,32,215158250
16,32,214210500
16,32,234991541
16,32,169758125
16,480000,3751212416
16,480000,1249176959
16,480000,636382959
16,480000,743965084
16,480000,507004416
16,480000,893232084
16,480000,530441625
16,480000,597874250
16,480000,755460542
16,480000,428320125
